176.28.32.1;7;8;62.69.146.99;35329
91.209.121.1;7;8;62.53.8.221;48572
185.108.76.1;7;8;194.9.117.72;206028
193.24.236.1;6;7;62.52.230.197;201011
91.231.176.1;7;8;62.69.146.85;2914
193.201.236.1;4;5;194.59.190.17;25115
79.140.208.1;6;7;62.53.8.189;12956
82.160.220.1;7;8;193.178.185.64;9002
216.150.188.1;6;7;62.53.8.187;12956
193.98.15.1;7;8;80.81.192.234;24989
193.36.1.1;7;8;193.178.185.56;8220
87.121.128.1;7;8;80.81.192.77;50368
193.149.32.1;4;5;194.59.190.7;5539
9.9.9.1;4;5;194.59.190.35;19281
193.189.108.1;7;8;62.69.146.54;13237
103.100.112.1;7;8;80.81.192.50;136840
91.213.131.1;7;8;80.81.194.84;31060
185.105.252.1;7;8;62.53.8.219;8648
103.101.113.1;6;7;62.53.0.11;133248
91.221.218.1;6;7;62.53.2.57;3257
103.74.91.1;7;8;62.53.13.223;3257
103.100.112.1;6;7;62.53.10.51;63555
91.237.196.1;7;8;193.178.185.46;12741
91.231.4.1;4;5;194.59.190.69;6939
91.203.136.1;6;7;62.53.2.59;3257
